temperature,humidity,wind_speed,traffic_density,industrial_activity,stagnation_index,AQI_1_Hour_Ago,AQI_24_Hours_Ago,AQI_Target
21.19,61.88,7.67,7.0,61.68,7.938223938223938,144.84,149.46,136.33
25.78,49.52,9.99,5.0,39.0,3.865213082259663,136.33,164.9,119.11
25.0,58.78,5.04,4.0,73.06,14.214007782101168,119.11,155.39,160.73
27.63,66.88,9.97,10.0,56.22,5.5829195630585895,160.73,105.21,153.16
20.8,73.62,12.12,7.0,44.71,3.6587561374795423,153.16,118.21,120.55
22.96,65.01,12.86,7.0,56.21,4.3371913580246915,120.55,66.1,142.57
20.79,54.3,8.58,8.0,35.7,4.112903225806452,142.57,109.63,126.65
37.97,60.12,9.18,5.0,44.13,4.755387931034483,126.65,123.1,155.99
24.91,72.9,11.07,4.0,48.89,4.376902417188899,155.99,162.46,139.9
17.6,65.69,9.67,1.0,39.49,4.041965199590583,139.9,174.23,103.63
30.76,47.46,12.43,4.0,81.17,6.4780526735834005,103.63,110.97,159.55
16.45,57.28,11.29,10.0,50.44,4.428446005267779,159.55,90.18,137.78
26.46,74.22,8.87,1.0,91.65,10.217391304347828,137.78,142.46,183.89
11.28,39.25,9.99,7.0,51.35,5.089197224975223,183.89,144.33,106.67
15.7,28.6,14.5,6.0,45.31,3.103424657534247,106.67,118.9,84.93
26.38,82.62,7.94,7.0,39.91,4.963930348258706,84.93,119.54,158.11
30.17,67.67,11.07,8.0,58.45,5.232766338406446,158.11,101.71,144.22
26.2,69.1,4.25,6.0,67.88,15.604597701149425,144.22,101.74,182.94
24.19,43.85,9.97,2.0,-0.76,-0.07547169811320754,182.94,134.99,17.12
22.89,71.06,10.3,2.0,50.1,4.8173076923076925,17.12,94.43,126.82
14.65,64.13,10.45,9.0,10.24,0.970616113744076,126.82,115.52,112.34
19.96,36.24,19.04,6.0,69.64,3.638453500522466,112.34,140.43,118.66
21.78,81.36,8.11,6.0,69.99,8.524969549330086,118.66,197.84,157.09
32.4,62.38,12.46,1.0,50.82,4.046178343949045,157.09,144.84,107.58
27.41,54.06,9.99,8.0,54.17,5.368681863230922,107.58,136.33,95.53
12.66,54.33,7.96,8.0,21.4,2.6550868486352353,95.53,119.11,123.66
27.27,29.77,12.42,4.0,39.05,3.1190095846645365,123.66,160.73,52.25
22.3,68.9,9.51,7.0,37.76,3.9292403746097815,52.25,153.16,55.83
20.26,63.93,12.63,9.0,41.02,3.2223095051060486,55.83,120.55,77.54
29.28,57.09,15.88,1.0,67.44,4.220275344180225,77.54,142.57,128.51
32.22,79.18,10.45,5.0,75.63,7.16872037914692,128.51,126.65,161.52
31.52,39.24,9.16,8.0,62.21,6.718142548596113,161.52,155.99,136.65
19.13,51.05,13.15,7.0,43.53,3.2852830188679247,136.65,139.9,108.24
22.84,47.25,14.19,10.0,35.08,2.4548635409377186,108.24,103.63,74.31
27.32,55.82,7.35,4.0,51.81,6.954362416107384,74.31,159.55,107.73
31.83,61.01,8.64,3.0,55.93,6.399313501144165,107.73,137.78,162.06
21.65,66.45,12.03,1.0,45.58,3.75762572135202,162.06,183.89,119.71
23.7,54.8,9.6,3.0,36.82,3.795876288659794,119.71,106.67,34.07
17.26,46.84,7.14,2.0,62.31,8.606353591160222,34.07,84.93,296.73
16.63,85.29,11.62,5.0,64.27,5.483788395904437,296.73,158.11,112.51
30.69,96.17,12.01,1.0,23.76,1.962014863748968,112.51,144.22,113.44
34.49,62.15,9.0,4.0,42.33,4.651648351648352,113.44,182.94,130.83
24.5,48.65,10.18,8.0,65.56,6.377431906614786,130.83,17.12,135.67
32.02,82.13,8.27,9.0,69.77,8.335722819593787,135.67,126.82,171.52
27.53,38.3,6.71,1.0,51.29,7.5315712187958885,171.52,112.34,138.16
20.48,54.98,8.51,3.0,57.31,6.656213704994194,138.16,118.66,137.14
27.53,49.56,10.22,6.0,55.05,5.334302325581395,137.14,157.09,103.78
35.77,42.61,5.57,5.0,69.09,12.185185185185185,103.78,107.58,133.38
24.75,55.8,8.73,1.0,27.82,3.1506228765571915,133.38,95.53,72.24
35.95,47.04,10.26,2.0,55.35,5.342664092664093,72.24,123.66,116.13
6.66,60.19,13.58,2.0,32.22,2.3552631578947367,116.13,52.25,78.77
30.75,60.12,9.06,7.0,50.44,5.506550218340611,78.77,55.83,365.44
25.61,50.68,6.26,6.0,28.83,4.533018867924528,365.44,77.54,82.13
22.91,54.44,9.37,6.0,58.17,6.142555438225978,82.13,128.51,100.77
25.0,56.54,8.3,1.0,32.33,3.8488095238095235,100.77,161.52,110.01
11.09,72.15,11.66,1.0,65.05,5.531462585034014,110.01,136.65,159.01
23.46,57.77,8.99,4.0,58.79,6.4675467546754675,159.01,108.24,179.91
27.5,72.37,1.87,10.0,54.79,27.812182741116747,179.91,74.31,184.95
35.35,68.79,21.07,6.0,89.22,4.214454416627302,184.95,107.73,149.7
21.37,68.57,10.43,6.0,35.95,3.414055080721748,149.7,162.06,130.72
19.34,80.82,10.27,5.0,68.52,6.607521697203472,130.72,119.71,162.63
21.49,43.21,5.38,4.0,73.44,13.401459854014599,162.63,34.07,117.66
31.41,52.9,5.61,2.0,68.53,12.001751313485114,117.66,296.73,155.89
27.3,86.45,9.72,7.0,36.45,3.7118126272912426,155.89,112.51,147.1
21.29,56.14,11.01,6.0,45.31,4.0783078307830785,147.1,113.44,151.3
28.59,17.77,12.11,7.0,37.88,3.102375102375103,151.3,130.83,77.03
25.68,56.96,10.71,3.0,44.05,4.0749306197964845,77.03,135.67,93.71
31.78,62.02,6.44,1.0,33.18,5.073394495412844,93.71,171.52,69.39
20.09,20.74,2.49,1.0,42.74,16.501930501930502,69.39,138.16,62.92
22.71,80.01,9.7,4.0,79.35,8.096938775510205,62.92,137.14,158.75
22.26,49.29,8.4,4.0,43.62,5.131764705882353,158.75,103.78,153.6
14.76,64.93,6.21,7.0,52.12,8.259904912836767,153.6,133.38,137.12
27.07,56.61,12.48,7.0,35.49,2.8211446740858506,137.12,72.24,103.6
26.83,40.67,5.27,4.0,49.7,9.255121042830542,103.6,116.13,150.97
25.04,43.94,11.85,7.0,66.53,5.567364016736402,150.97,78.77,150.24
23.36,60.12,5.77,8.0,59.79,10.185689948892676,150.24,365.44,137.32
15.09,76.29,10.4,9.0,78.37,7.463809523809524,137.32,82.13,208.2
22.06,57.79,12.8,6.0,25.8,2.0,208.2,100.77,71.94
22.6,52.17,8.99,4.0,34.87,3.836083608360836,71.94,110.01,109.9
19.38,45.98,15.07,10.0,41.74,2.7514831905075807,109.9,159.01,66.43
23.87,77.94,15.75,2.0,80.5,5.078864353312303,66.43,179.91,173.0
27.83,81.96,10.71,9.0,55.98,5.178538390379278,173.0,184.95,189.66
38.2,77.77,11.62,7.0,21.66,1.8481228668941982,189.66,149.7,139.71
26.22,67.39,13.18,6.0,71.84,5.409638554216868,139.71,130.72,182.7
26.8,64.35,11.63,4.0,52.19,4.44927536231884,182.7,162.63,205.44
24.48,41.76,11.31,4.0,67.81,5.943032427695004,205.44,117.66,125.81
11.57,56.31,8.43,2.0,81.67,9.574443141852287,125.81,155.89,136.31
24.81,49.74,4.94,1.0,30.45,6.041666666666666,136.31,147.1,114.4
25.42,32.62,5.83,5.0,81.66,13.770657672849916,114.4,151.3,136.47
42.24,75.86,17.15,6.0,48.52,2.812753623188406,136.47,77.03,111.06
23.65,49.56,10.97,10.0,41.72,3.7687443541102077,111.06,93.71,109.12
27.11,77.94,9.26,9.0,53.09,5.672008547008548,109.12,69.39,210.55
24.76,73.23,13.79,1.0,26.15,1.882649388048956,210.55,62.92,114.14
16.82,68.35,7.75,5.0,49.6,6.318471337579618,114.14,158.75,148.17
33.0,69.19,11.75,5.0,45.15,3.810126582278481,148.17,153.6,93.25
30.26,50.77,10.23,9.0,31.24,3.024201355275895,93.25,137.12,92.82
30.54,87.87,11.38,4.0,37.07,3.229094076655052,92.82,103.6,175.1
18.63,60.65,8.99,3.0,72.76,8.004400440044005,175.1,150.97,150.69
34.82,64.53,7.11,3.0,46.45,6.44244105409154,150.69,150.24,197.74
15.19,50.26,7.53,6.0,30.39,3.982961992136304,197.74,137.32,110.15
29.11,46.03,7.65,1.0,58.96,7.607741935483871,110.15,208.2,130.59
40.33,67.16,9.99,1.0,65.33,6.474727452923687,130.59,71.94,155.9
18.07,63.26,5.33,1.0,49.96,9.20073664825046,155.9,109.9,134.8
21.04,48.16,6.26,7.0,25.32,3.9811320754716983,134.8,66.43,63.37
25.7,38.42,10.41,5.0,-0.93,-0.08848715509039011,63.37,173.0,71.11
21.48,40.95,9.62,9.0,31.98,3.290123456790124,71.11,189.66,108.01
14.15,77.94,10.57,3.0,71.09,6.6626054358013125,108.01,139.71,158.28
25.48,50.8,9.86,6.0,69.26,6.953815261044178,158.28,182.7,149.4
17.56,54.92,17.56,7.0,34.08,1.929784824462061,149.4,205.44,107.24
28.32,81.76,10.38,3.0,45.28,4.320610687022901,107.24,125.81,196.03
18.56,43.17,8.86,9.0,63.96,7.138392857142858,196.03,136.31,179.19
35.85,49.1,10.3,2.0,47.23,4.5413461538461535,179.19,114.4,127.24
19.52,48.47,13.06,7.0,68.73,5.222644376899696,127.24,136.47,118.7
25.0,84.27,9.85,10.0,48.06,4.830150753768844,118.7,111.06,121.17
30.69,89.9,12.05,4.0,59.63,4.907818930041152,121.17,109.12,173.84
16.38,71.27,11.19,9.0,43.54,3.856510186005315,173.84,210.55,113.27
26.59,71.75,9.13,7.0,34.32,3.7183098591549295,113.27,114.14,134.57
34.15,51.29,10.33,8.0,73.31,7.0287631831256,134.57,148.17,174.12
13.75,89.21,14.8,10.0,19.96,1.3395973154362417,174.12,93.25,274.31
26.29,64.02,10.73,3.0,38.01,3.5096952908587253,274.31,92.82,89.34
26.82,72.8,7.04,6.0,48.11,6.738095238095238,89.34,175.1,131.68
30.47,58.42,9.04,4.0,67.17,7.3490153172866535,131.68,150.69,152.5
16.34,55.98,3.66,4.0,32.42,8.622340425531915,152.5,197.74,123.17
15.76,84.95,10.41,2.0,52.54,4.999048525214082,123.17,110.15,153.73
28.65,68.1,13.94,10.0,22.27,1.5861823361823362,153.73,130.59,170.95
27.08,81.77,5.98,9.0,58.81,9.672697368421053,170.95,155.9,127.23
26.75,63.83,10.45,1.0,86.47,8.196208530805688,127.23,134.8,207.98
27.43,47.27,12.96,1.0,10.81,0.8277182235834609,207.98,63.37,87.73
20.24,51.25,13.27,7.0,35.45,2.6514584891548245,87.73,71.11,77.28
26.63,60.12,13.84,10.0,66.74,4.7876614060258245,77.28,108.01,145.95
27.05,50.6,4.4,7.0,108.87,24.193333333333335,145.95,158.28,266.23
20.0,43.39,11.51,4.0,61.76,5.319552110249785,266.23,149.4,111.77
38.06,78.02,5.48,8.0,35.41,6.345878136200716,111.77,107.24,142.93
28.32,51.83,7.01,5.0,47.03,6.614627285513362,142.93,196.03,392.44
16.66,62.07,12.46,6.0,25.46,2.0270700636942673,392.44,179.19,108.37
29.6,64.44,10.47,4.0,66.1,6.253547776726584,108.37,127.24,186.59
18.18,51.18,12.18,3.0,70.92,5.7752442996742674,186.59,118.7,168.34
30.51,81.76,7.21,2.0,78.13,10.688098495212039,168.34,121.17,218.42
33.11,43.24,14.42,8.0,43.4,2.9889807162534434,218.42,173.84,64.26
19.26,63.92,12.07,5.0,33.85,2.781429745275267,64.26,113.27,108.92
31.74,63.69,12.67,10.0,79.9,6.256851996867659,108.92,134.57,201.07
27.89,59.19,6.76,6.0,77.62,11.314868804664725,201.07,174.12,200.72
30.75,40.55,13.51,6.0,30.24,2.221895664952241,200.72,274.31,72.71
38.28,73.06,9.05,4.0,42.49,4.643715846994535,72.71,89.34,123.6
23.28,71.15,8.17,9.0,65.79,7.955259975816205,123.6,131.68,149.78
19.72,49.87,11.88,7.0,44.96,3.7529215358931554,149.78,152.5,127.8
18.77,70.61,11.75,10.0,50.63,4.2725738396624475,127.8,123.17,171.65
25.0,65.62,7.46,8.0,20.62,2.727513227513228,171.65,153.73,114.69
24.46,40.79,16.17,7.0,27.55,1.6933005531653347,114.69,170.95,51.51
27.39,47.19,15.44,4.0,48.17,3.0997425997426,51.51,127.23,114.78
26.94,77.07,11.82,9.0,36.02,3.021812080536913,114.78,207.98,113.95
30.79,60.12,11.29,2.0,27.04,2.374012291483758,113.95,87.73,90.06
25.09,51.54,10.99,5.0,43.72,3.9422903516681695,90.06,77.28,110.53
35.17,47.12,5.35,2.0,32.45,5.954128440366974,110.53,145.95,97.92
23.15,52.27,10.34,8.0,50.56,4.842911877394636,97.92,266.23,106.02
44.04,53.33,10.3,9.0,69.85,6.716346153846153,106.02,111.77,215.36
29.38,47.31,8.27,3.0,43.97,5.253285543608125,215.36,142.93,76.28
19.0,33.87,9.07,5.0,41.48,4.523446019629225,76.28,392.44,87.19
17.5,77.1,2.86,9.0,71.47,24.14527027027027,87.19,108.37,195.07
28.38,74.56,6.71,6.0,64.67,9.49632892804699,195.07,186.59,213.62
23.44,40.9,12.77,3.0,65.96,5.125097125097125,213.62,168.34,138.67
30.0,62.04,15.19,6.0,-0.41,-0.026814911706998037,138.67,218.42,60.13
28.31,46.47,7.17,9.0,41.03,5.6437414030261355,60.13,64.26,111.98
24.49,56.08,10.55,10.0,38.57,3.6215962441314553,111.98,108.92,155.11
19.07,54.83,13.3,7.0,33.49,2.4992537313432837,155.11,201.07,83.48
14.4,53.58,8.44,4.0,71.07,8.322014051522249,83.48,200.72,161.13
21.87,90.04,12.03,4.0,39.13,3.2258862324814515,161.13,72.71,139.27
